DATE,BOGZ1FL073164013Q
1970-10-01,830270.0
1971-01-01,923130.0
1971-04-01,921910.0
1971-07-01,914220.0
1971-10-01,949260.0
1972-01-01,1013100.0
1972-04-01,1010340.0
1972-07-01,1028170.0
1972-10-01,1090310.0
1973-01-01,1001610.0
1973-04-01,914850.0
1973-07-01,979040.0
1973-10-01,861730.0
1974-01-01,838930.0
1974-04-01,739500.0
1974-07-01,550030.0
1974-10-01,590340.0
1975-01-01,730290.0
1975-04-01,840170.0
1975-07-01,734620.0
1975-10-01,784150.0
1976-01-01,903470.0
1976-04-01,914800.0
1976-07-01,920720.0
1976-10-01,954180.0
1977-01-01,888810.0
1977-04-01,919190.0
1977-07-01,887450.0
1977-10-01,887590.0
1978-01-01,847810.0
1978-04-01,917970.0
1978-07-01,996100.0
1978-10-01,922770.0
1979-01-01,997610.0
1979-04-01,1028230.0
1979-07-01,1101820.0
1979-10-01,1100710.0
1980-01-01,1026030.0
1980-04-01,1165140.0
1980-07-01,1300900.0
1980-10-01,1404590.0
1981-01-01,1415040.0
1981-04-01,1391400.0
1981-07-01,1208440.0
1981-10-01,1286240.0
1982-01-01,1153700.0
1982-04-01,1125130.0
1982-07-01,1235790.0
1982-10-01,1451590.0
1983-01-01,1600060.0
1983-04-01,1791700.0
1983-07-01,1757860.0
1983-10-01,1723620.0
1984-01-01,1633980.0
1984-04-01,1571330.0
1984-07-01,1698060.0
1984-10-01,1702010.0
1985-01-01,1859770.0
1985-04-01,1977840.0
1985-07-01,1871220.0
1985-10-01,2164690.0
1986-01-01,2455240.0
1986-04-01,2577650.0
1986-07-01,2360480.0
1986-10-01,2434950.0
1987-01-01,2929670.0
1987-04-01,3004910.0
1987-07-01,3170980.0
1987-10-01,2417120.0
1988-01-01,2583950.0
1988-04-01,2729650.0
1988-07-01,2706670.0
1988-10-01,2738420.0
1989-01-01,2915070.0
1989-04-01,3137010.0
1989-07-01,3426660.0
1989-10-01,3419880.0
1990-01-01,3273460.0
1990-04-01,3424370.0
1990-07-01,2879340.0
1990-10-01,3101360.0
1991-01-01,3583670.0
1991-04-01,3545470.0
1991-07-01,3743980.0
1991-10-01,4041100.0
1992-01-01,3961550.0
1992-04-01,3930330.0
1992-07-01,4024360.0
1992-10-01,4289730.0
1993-01-01,4444300.0
1993-04-01,4449570.0
1993-07-01,4601840.0
1993-10-01,4657830.0
1994-01-01,4457690.0
1994-04-01,4395220.0
1994-07-01,4605820.0
1994-10-01,4540620.0
1995-01-01,4920420.0
1995-04-01,5348770.0
1995-07-01,5806630.0
1995-10-01,6057210.0
1996-01-01,6365890.0
1996-04-01,6612770.0
1996-07-01,6765650.0
1996-10-01,7198290.0
1997-01-01,7213530.0
1997-04-01,8396870.0
1997-07-01,9180210.0
1997-10-01,9298190.0
1998-01-01,10494720.0
1998-04-01,10663610.0
1998-07-01,9346810.0
1998-10-01,11317590.0
1999-01-01,11707670.0
1999-04-01,12583600.0
1999-07-01,11713800.0
1999-10-01,13812670.0
2000-01-01,14296180.0
2000-04-01,13618500.0
2000-07-01,13613330.0
2000-10-01,12175880.0
2001-01-01,10645850.0
2001-04-01,11407150.0
2001-07-01,9562950.0
2001-10-01,10707680.0
2002-01-01,10775740.0
2002-04-01,9384030.0
2002-07-01,7773630.0
2002-10-01,8343190.0
2003-01-01,8051860.0
2003-04-01,9342420.0
2003-07-01,9649680.0
2003-10-01,10799630.0
2004-01-01,11039420.0
2004-04-01,11144590.0
2004-07-01,10893780.0
2004-10-01,11951470.0
2005-01-01,11637250.0
2005-04-01,11856670.0
2005-07-01,12282870.0
2005-10-01,12497180.0
2006-01-01,13121560.0
2006-04-01,12808890.0
2006-07-01,13322490.0
2006-10-01,14215820.0
2007-01-01,14354030.0
2007-04-01,15163100.0
2007-07-01,15317780.0
2007-10-01,14753620.0
2008-01-01,13284120.0
2008-04-01,13016380.0
2008-07-01,11826000.0
2008-10-01,9056670.0
2009-01-01,8044180.0
2009-04-01,9342810.0
2009-07-01,10812750.0
2009-10-01,11385110.0
2010-01-01,12032450.0
2010-04-01,10645780.0
2010-07-01,11813970.0
2010-10-01,13131470.0
2011-01-01,13908510.0
2011-04-01,13843450.0
2011-07-01,11676500.0
2011-10-01,13019330.0
2012-01-01,14627460.0
2012-04-01,14100240.0
2012-07-01,14894660.0
2012-10-01,14834880.0
2013-01-01,16396150.0
2013-04-01,16771310.0
2013-07-01,17718250.0
2013-10-01,19413170.0
2014-01-01,19711220.0
2014-04-01,20568650.0
2014-07-01,20458820.0
2014-10-01,21424580.0
2015-01-01,21707570.0
2015-04-01,21630900.0
2015-07-01,19959310.0
2015-10-01,21100930.0
2016-01-01,21179410.0
2016-04-01,21621460.0
2016-07-01,22468590.0
2016-10-01,23276730.0
2017-01-01,24508320.0
2017-04-01,25124960.0
2017-07-01,26148540.0
2017-10-01,27673190.0
2018-01-01,27383000.0
2018-04-01,28313770.0
2018-07-01,30189600.0
2018-10-01,25724510.0
2019-01-01,29193900.0
2019-04-01,30243830.0
2019-07-01,30441780.0
2019-10-01,33035380.0
2020-01-01,25984750.0
2020-04-01,31576790.0
2020-07-01,34305780.0
2020-10-01,39219620.0
2021-01-01,41602650.0
2021-04-01,44904320.0
2021-07-01,44705790.0
2021-10-01,48634310.0
2022-01-01,45847300.0
2022-04-01,37976520.0
2022-07-01,36097990.0
2022-10-01,38520600.0
